2aa4681cb82f5b3eee09b2b491a16ceadf52bd27, Fixed checkstyle warning about parentheses., 2
4158323ee456bd412e7357a4a6bc8bf50deb5d9e, extended GeometricDistributionTest to test inverse cumulativeprobability function also at point, 2
b10b90b0a3947bea98e3646e7d29f853f3b5c6f7, Missing import., 2
5cfd99f0dcd0d10689e480f0854e859079f125d0, [MATH-] Fix calculation of ksSum in KolmogorovSmirnovTest for zero input., 2
6913170b0def896d348d609baa5602972e76ef6c, moved myself from contributor to developer section, 6
40f969bc9e162deead55967da3c128e2da933dfc, Added negative zero support in FastMath.pow.JIRA: MATH-Github: closes #, 2
d746a54c2ee50711283bb49e557f58ca491e1bac, Update unit test for LocalizedFormats after removing the deprecated one., 2
8ed40d530295d819e0ca964b2d4542f6ca6a9929, RNG seed in unit test., 2
35f4fbeeb6feff2fd364f79d845449417d84cc74, Fixed checkstyle and findbugs warnings., 2
9ec53e16d65c7ec818424cd34bd32df1fbbf4303, Dropped vestigal methods from test distributions., 2
d389e94beef2de34e268470c9c3304d50acbba17, Remove unused imports., 2
51cb31ef21f879220b8fa20e37bae15bfb2c4d21, Fixed equals/hashcode contract failure for Dfp.Thanks to Cyrille Artho., 2
c30b59103b6f1390b0040ee74b985248e8b1b849, Temporarily ignore FastMath tests and add console output to FastMath.exp()., 2
b6488f0869b79d3ba5a1ea1d3221e9ea191182d5, Added @Overrides., 2
b494caa01985c623601735f1bc10871cfb8aa048, Remove spurios change., 2
5e6f4f18ff315825284d697adc1d721983da8693, Added a simpler perfect fit test that verifies slope standard error identically ., 2
e31a222cef8ef08f4dafb01f41b6a2d6c26d64fc, Fixed forgotten test update.git-svn-id:  f-bb---ffaedef, 2
4c5cda210eecd7f82c4ce88e3092dbcd13db5b48, Typo., 2
a516976947341e0e18bcc0858d85d34cd0c02cdb, Debug output commented out., 2
6f0ff08189214d4458719fc1d78df0a22892550c, Tab policegit-svn-id:  f-bb---ffaedef, 2
0cf42e9ae0b40ccc43990cab0b8e87aeff82db34, Removed call to double[][] solve(double[][]) from interface DecompositionSolver.git-svn-id:  f-bb---ffaedef, 2
1e1365c7b48da04db1e29f225ab1fabe40d13c5e, Replaced deprecated method.git-svn-id:  f-bb---ffaedef, 2
17c903385c1bf837de1943975550126f13fe7150, Replace svn-based build number with git-based build number., 6
c29e3d681f2a46cc3288dc4f38925efbcf30c233, Identified a new failure mode for polygons., 2
0dec6e76fb544fa3e8bf5fd17f16314735971dd7, Corrected variance (Thanks Thomas) and added tests for inverseCumulativeProbability, 2
e3dda4407a3f59bd73350ac780f43eb885967b5f, Added statistics missing from toString method in SummaryStatistics.JIRA: MATH-, 2
b262c2359c9ed53dae3ce2ce7a0092273f4eec65, Add more debug output., 2
61f3eba79d382c68c27ecb9eb3ad259fc5b75c20, Added test confirming correct cumulative probability values for +-INF., 2
08014552131b5e55f28513f24dbaed7172b7e228, Replaced deprecated method.git-svn-id:  f-bb---ffaedef, 2
540aa2e7ed7c0c0add1daad7fb548e156435e0a2, Fixed message format formatting., 2
81182700e84d8bcba65137bd1b76a220770dc062, Re-enabled test build is anyway not ready for Java .git-svn-id:  f-bb---ffaedef, 2
675d4c8fc848ec5438e48deb2e8218b6f0078814, Update test after adding new error message.git-svn-id:  f-bb---ffaedef, 2
9d14fe21a4044dafc984e1626ac5f465e35179ee, Added proper checking of expected exception in FastMath tests.Some of the new functions trigger exceptions in the data range used fortests (overflows near range end divisions by zero). The FastMathimplementation throws compatible exception in the same cases this isnow tested correctly., 2
0473d5ff10b3b291b0aa3f25c40697be6efab44e, Move Evan from Contributor to Member on the sitegit-svn-id:  f-bb---ffaedef, 6
f4e96cb7fe64045503c4a5344704e80cca81185a, Use the test-specific hull generator instead of a fixed one.git-svn-id:  f-bb---ffaedef, 2
1cca06f22c2430573700db885d4e5b55be44924b, Replace tabs.git-svn-id:  f-bb---ffaedef, 6
931a67ff52aeebb5950d28b7ba9c2ad1c0bc80be, Math.nextUp is not available before Java ..git-svn-id:  f-bb---ffaedef, 2
4fc2d432050c00afcc9809ea33e23ad2cee5fb82, Removed development bits.git-svn-id:  f-bb---ffaedef, 2
26581ccd6688742b5458c474d05939c371390df0, Removed test based on the assumption that iterating over a"ConcurrentHashMap" would always provide its elements in arandom order. This seemed to be the case up to Java  butnot always in Java .git-svn-id:  f-bb---ffaedef, 2
